session_id,player_id,game_title,date,session_duration_min,in_game_purchases_usd,level,platform,region,player_type,account_age_category,achievement_count,social_interactions,churn_flag
S00008460,P00011893,Mythic Quest,2024-06-10,164,0,46,PC,SA,Casual,veteran,25,27,0
S00008461,P00011893,Mythic Quest,2024-06-14,168,0,48,PC,SA,Casual,veteran,41,12,0
S00008462,P00011893,Mythic Quest,2024-06-21,23,0,54,PC,SA,Casual,veteran,46,4,No
S00008463,P00011893,Mythic Quest,2024-07-04,115,0,56,PC,SA,Casual,veteran,62,54,No
S00008464,P00011893,Mythic Quest,2024-07-16,105,,58,PC,SA,Casual,veteran,57,22,0
S00008465,P00011894,Mythic Quest,2024-04-24,177,0,2,PlayStation,EU,Casual,veteran,14,5,0
S00008466,P00011894,Mythic Quest,2024-05-11,127,11.91,3,PlayStation,EU,Casual,veteran,21,34,0
S00008467,P00011894,Mythic Quest,2024-05-19,33,,6,PlayStation,EU,Casual,veteran,23,30,No
S00008468,P00011894,Mythic Quest,2024-06-04,82,2.11,9,PlayStation,EU,Casual,veteran,44,31,0
S00008469,P00011894,Mythic Quest,2024-07-18,147,0,12,PlayStation,EU,Casual,veteran,44,43,0
S00008470,P00011894,Mythic Quest,2024-07-20,268,7.22,16,PlayStation,EU,Casual,veteran,68,69,0
S00008471,P00011895,Mythic Quest,2024-07-16,84,5.92,5,pc,EU,Casual,Intermediate,2,,0
S00008472,P00011895,Mythic Quest,2024-08-02,69,21.14,7,pc,EU,Casual,Intermediate,27,38,No
S00008473,P00011896,Mythic Quest,2024-04-19,69,0.41,MAX,PlayStation,EU,,New,26,30,0
S00008474,P00011896,Mythic Quest,2024-06-02,21,,23,PlayStation,EU,,New,38,8,0
S00008475,P00011896,Mythic Quest,2024-07-11,249,,26,PlayStation,EU,,New,51,38,0
S00008476,P00011896,Mythic Quest,2024-08-10,212,0,29,PlayStation,EU,,New,45,36,0
S00008477,P00011897,Mythic Quest,2024-05-22,142,114.80,1,,SA,Whale,new,6,8,0
S00008478,P00011897,Mythic Quest,2024-07-28,173,13.96,3,,SA,Whale,new,35,,0
S00008479,P00011898,Mythic Quest,2024-04-17,70,,6,Xbox,NA,Premium,veteran,-1,30,0
S00008480,P00011898,Mythic Quest,2024-05-24,92,0,8,Xbox,NA,Premium,veteran,-1,47,0
S00008481,P00011898,Mythic Quest,2024-06-14,160,9.85,9,Xbox,NA,Premium,veteran,-1,,0
S00008482,P00011898,Mythic Quest,2024-07-10,215,0,14,Xbox,NA,Premium,veteran,49,47,0
S00008483,P00011899,Mythic Quest,2024-05-04,125,,47,PLAYSTATION,OCE,Casual,Veteran,26,38,0
S00008484,P00011899,Mythic Quest,2024-06-17,121,,49,PLAYSTATION,OCE,Casual,Veteran,7,53,0
S00008485,P00011899,Mythic Quest,2024-08-02,20,,51,PLAYSTATION,OCE,Casual,Veteran,18,7,0
S00008486,P00011900,Mythic Quest,2024-04-25,146,,10,PC,ASIA,Whale,new,25,24,0
S00008487,P00011900,Mythic Quest,2024-05-04,,,12,PC,ASIA,Whale,new,30,34,0
S00008488,P00011900,Mythic Quest,2024-05-12,12,,13,PC,ASIA,Whale,new,27,13,No
S00008489,P00011900,Mythic Quest,2024-06-07,130,179.88,16,PC,ASIA,Whale,new,18,12,0
S00008490,P00011900,Mythic Quest,2024-06-28,66,,18,PC,ASIA,Whale,new,48,47,0
S00008491,P00011900,Mythic Quest,2024-07-04,52,0,20,PC,ASIA,Whale,new,30,29,0
S00008492,P00011900,Mythic Quest,2024-07-22,140,,22,PC,ASIA,Whale,new,35,18,0
S00008493,P00011900,Mythic Quest,2024-07-30,121,,24,PC,ASIA,Whale,new,63,13,0
S00008494,P00011901,Mythic Quest,2024-04-25,44,19.13,31,,ASIA,PREMIUM,new,26,42,0
S00008495,P00011901,Mythic Quest,2024-05-08,38,8.69,32,,ASIA,PREMIUM,new,16,36,0
S00008496,P00011901,Mythic Quest,2024-06-07,97,0,35,,ASIA,PREMIUM,new,40,20,0
S00008497,P00011901,Mythic Quest,2024-07-13,97,0,38,,ASIA,PREMIUM,new,19,48,0
S00008498,P00011901,Mythic Quest,2024-07-16,26,0,39,,ASIA,PREMIUM,new,48,,No
S00008499,P00011902,Mythic Quest,2024-04-17,137,14.51,15,PlayStation,ASIA,free,Veteran,14,29,0
S00008500,P00011902,Mythic Quest,2024-04-19,119,1.34,17,PlayStation,ASIA,free,Veteran,10,33,0
S00008501,P00011902,Mythic Quest,2024-05-22,86,,MAX,PlayStation,ASIA,free,Veteran,33,1,0
S00008502,P00011902,Mythic Quest,2024-06-26,123,,21,PlayStation,ASIA,free,Veteran,36,,No
S00008503,P00011903,Mythic Quest,2024-04-17,139,,2,,na,,Veteran,11,5,0
S00008504,P00011903,Mythic Quest,2024-04-22,113,0,4,,na,,Veteran,,53,0
S00008505,P00011903,Mythic Quest,2024-04-28,99,5.23,5,,na,,Veteran,35,14,0
S00008506,P00011903,Mythic Quest,2024-05-10,27,6.87,8,,na,,Veteran,47,,0
S00008507,P00011903,Mythic Quest,2024-06-17,139,,13,,na,,Veteran,58,43,No
S00008508,P00011903,Mythic Quest,2024-07-29,157,0,12,,na,,Veteran,48,44,0
S00008509,P00011903,Mythic Quest,2024-07-30,81,,16,,na,,Veteran,37,0,0
S00008510,P00011903,Mythic Quest,2024-08-12,176,0,16,,na,,Veteran,42,21,0
S00008511,P00011904,Mythic Quest,2024-06-20,198,,14,PC,OCE,Whale,new,1,66,0
S00008512,P00011904,Mythic Quest,2024-07-01,168,0,16,PC,OCE,Whale,new,9,5,0
S00008513,P00011904,Mythic Quest,2024-07-05,143,,19,PC,OCE,Whale,new,21,53,No
S00008514,P00011904,Mythic Quest,2024-08-06,31,0,21,PC,OCE,Whale,new,21,31,0
S00008515,P00011905,Mythic Quest,2024-04-28,173,14.71,44,,NA,Premium,,33,7,0
S00008516,P00011905,Mythic Quest,2024-05-10,96,0,45,,NA,Premium,,30,42,0
S00008517,P00011905,Mythic Quest,2024-05-31,114,,47,,NA,Premium,,27,34,0
S00008518,P00011905,Mythic Quest,2024-06-11,79,,50,,NA,Premium,,-1,6,0
S00008519,P00011905,Mythic Quest,2024-06-20,149,,52,,NA,Premium,,28,42,0
S00008520,P00011905,Mythic Quest,2024-07-06,,,58,,NA,Premium,,48,64,0
S00008521,P00011905,Mythic Quest,2024-07-22,46,,60,,NA,Premium,,76,8,0
S00008522,P00011905,Mythic Quest,2024-08-10,99,,59,,NA,Premium,,50,12,0
S00008523,P00011906,Mythic Quest,2024-06-14,NULL,178.20,40,pc,,Whale,Intermediate,1,32,0
S00008524,P00011906,Mythic Quest,2024-07-13,99,156.46,42,pc,,Whale,Intermediate,43,45,0
S00008525,P00011906,Mythic Quest,2024-08-03,157,0,45,pc,,Whale,Intermediate,36,65,0
S00008526,P00011906,Mythic Quest,2024-08-12,123,164.85,47,pc,,Whale,Intermediate,51,7,0
S00008527,P00011907,Mythic Quest,2024-06-10,29,0,17,PC,OCE,Casual,Intermediate,26,7,0
S00008528,P00011907,Mythic Quest,2024-06-28,150,0,19,PC,OCE,Casual,Intermediate,44,10,0
S00008529,P00011907,Mythic Quest,2024-07-08,141,,22,PC,OCE,Casual,Intermediate,19,40,0
S00008530,P00011907,Mythic Quest,2024-07-15,46,15.62,23,PC,OCE,Casual,Intermediate,39,7,0
S00008531,P00011908,Mythic Quest,2024-07-02,85,3.85,30,PC,EU,PREMIUM,,-1,29,0
S00008532,P00011908,Mythic Quest,2024-08-08,33,,32,PC,EU,PREMIUM,,19,35,No
S00008533,P00011909,Mythic Quest,2024-04-18,87,,45,,ASIA,Whale,Veteran,6,38,0
S00008534,P00011909,Mythic Quest,2024-07-02,106,,47,,ASIA,Whale,Veteran,32,23,0
S00008535,P00011909,Mythic Quest,2024-08-01,92,0,49,,ASIA,Whale,Veteran,22,53,0
S00008536,P00011910,Mythic Quest,2024-06-28,29,,8,PC,ASIA,PREMIUM,,23,7,0
S00008537,P00011910,Mythic Quest,2024-06-30,80,21.74,10,PC,ASIA,PREMIUM,,26,28,0
S00008538,P00011911,Mythic Quest,2024-04-24,187,,,PC,na,Casual,new,16,13,0
S00008539,P00011911,Mythic Quest,2024-05-01,175,15.56,10,PC,na,Casual,new,32,54,0
S00008540,P00011911,Mythic Quest,2024-05-22,26,16.16,11,PC,na,Casual,new,18,23,0
S00008541,P00011911,Mythic Quest,2024-06-19,121,8.19,16,PC,na,Casual,new,41,23,0
S00008542,P00011911,Mythic Quest,2024-06-27,185,4.12,19,PC,na,Casual,new,32,,0
S00008543,P00011911,Mythic Quest,2024-07-15,162,5.49,19,PC,na,Casual,new,52,5,0
S00008544,P00011912,Mythic Quest,2024-05-03,211,16.07,21,,NA,Free,,13,1,0
S00008545,P00011912,Mythic Quest,2024-05-13,61,0,23,,NA,Free,,13,1,0
S00008546,P00011912,Mythic Quest,2024-05-29,180,6.10,25,,NA,Free,,42,1,0
S00008547,P00011912,Mythic Quest,2024-08-06,65,22.76,29,,NA,Free,,51,24,1
S00008548,P00011913,Mythic Quest,2024-05-03,125,,40,,ASIA,,,-1,22,0
S00008549,P00011913,Mythic Quest,2024-05-14,160,0,42,,ASIA,,,12,47,0
S00008550,P00011913,Mythic Quest,2024-05-18,173,,44,,ASIA,,,12,2,0
S00008551,P00011913,Mythic Quest,2024-05-30,77,0,45,,ASIA,,,19,18,0
S00008552,P00011913,Mythic Quest,2024-06-21,19,19.21,48,,ASIA,,,50,7,0
S00008553,P00011913,Mythic Quest,2024-07-05,136,0,54,,ASIA,,,64,38,0
S00008554,P00011914,Mythic Quest,2024-06-16,27,,MAX,PlayStation,NA,Casual,Veteran,11,68,No
S00008555,P00011914,Mythic Quest,2024-06-30,157,,25,PlayStation,NA,Casual,Veteran,17,63,1
S00008556,P00011915,Mythic Quest,2024-06-24,128,11.40,12,,ASIA,free,veteran,0,39,No
S00008557,P00011915,Mythic Quest,2024-08-09,129,3.73,14,,ASIA,free,veteran,20,,0
S00008558,P00011916,Mythic Quest,2024-05-02,42,11.89,27,,N/A,,veteran,16,23,1
S00008559,P00011917,Mythic Quest,2024-05-24,86,0,43,,NA,Whale,,2,44,0
S00008560,P00011917,Mythic Quest,2024-06-06,166,79.63,45,,NA,Whale,,10,40,0
S00008561,P00011917,Mythic Quest,2024-06-23,124,0,47,,NA,Whale,,21,36,0
S00008562,P00011917,Mythic Quest,2024-07-11,57,0,51,,NA,Whale,,46,1,0
S00008563,P00011918,Mythic Quest,2024-04-19,127,0,50,,,,veteran,0,31,0
S00008564,P00011918,Mythic Quest,2024-07-17,156,20.22,52,,,,veteran,7,21,0
S00008565,P00011918,Mythic Quest,2024-08-05,155,,54,,,,veteran,38,39,0
S00008566,P00011919,Mythic Quest,2024-05-29,141,,10,PLAYSTATION,N/A,Whale,,21,,0
S00008567,P00011919,Mythic Quest,2024-07-07,160,,12,PLAYSTATION,N/A,Whale,,22,29,0
S00008568,P00011920,Mythic Quest,2024-05-22,15,40.86,23,PC,ASIA,Whale,new,2,2,0
S00008569,P00011920,Mythic Quest,2024-06-10,138,,24,PC,ASIA,Whale,new,14,15,No
S00008570,P00011920,Mythic Quest,2024-06-21,15,,27,PC,ASIA,Whale,new,17,17,0
S00008571,P00011920,Mythic Quest,2024-07-18,15,0,30,PC,ASIA,Whale,new,36,14,1
S00008572,P00011921,Mythic Quest,2024-04-21,153,10.85,50,Xbox,na,free,New,14,29,0
S00008573,P00011921,Mythic Quest,2024-05-01,46,0,52,Xbox,na,free,New,34,22,0
S00008574,P00011921,Mythic Quest,2024-05-16,141,,53,Xbox,na,free,New,14,5,0
S00008575,P00011921,Mythic Quest,2024-05-26,120,,55,Xbox,na,free,New,-1,39,0
S00008576,P00011921,Mythic Quest,2024-06-11,59,8.43,57,Xbox,na,free,New,31,40,0
S00008577,P00011921,Mythic Quest,2024-06-18,22,0.16,61,Xbox,na,free,New,54,16,0
S00008578,P00011921,Mythic Quest,2024-06-28,160,,64,Xbox,na,free,New,57,56,0
S00008579,P00011921,Mythic Quest,2024-07-31,151,,66,Xbox,na,free,New,66,,0
S00008580,P00011922,Mythic Quest,2024-04-17,65,0,46,PlayStation,ASIA,,,8,40,0
S00008581,P00011922,Mythic Quest,2024-04-22,137,7.83,47,PlayStation,ASIA,,,20,13,0
S00008582,P00011922,Mythic Quest,2024-05-03,142,,49,PlayStation,ASIA,,,9,14,0
S00008583,P00011922,Mythic Quest,2024-05-04,59,11.47,53,PlayStation,ASIA,,,40,29,0
S00008584,P00011922,Mythic Quest,2024-05-14,208,,55,PlayStation,ASIA,,,56,2,0
S00008585,P00011922,Mythic Quest,2024-06-07,78,5.13,55,PlayStation,ASIA,,,34,8,0
S00008586,P00011922,Mythic Quest,2024-06-09,115,0,57,PlayStation,ASIA,,,-1,1,0
S00008587,P00011922,Mythic Quest,2024-07-31,,,61,PlayStation,ASIA,,,48,40,0
S00008588,P00011923,Mythic Quest,2024-05-18,66,12.55,35,PLAYSTATION,EU,Premium,,13,6,0
S00008589,P00011923,Mythic Quest,2024-05-21,152,1.54,36,PLAYSTATION,EU,Premium,,5,,0
S00008590,P00011923,Mythic Quest,2024-06-17,95,,40,PLAYSTATION,EU,Premium,,18,53,0
S00008591,P00011924,Mythic Quest,2024-06-17,199,0,21,PC,OCE,free,veteran,17,,0
S00008592,P00011924,Mythic Quest,2024-07-05,123,0,23,PC,OCE,free,veteran,32,0,0
S00008593,P00011924,Mythic Quest,2024-08-04,193,0,26,PC,OCE,free,veteran,50,20,No
S00008594,P00011927,Mythic Quest,2024-05-08,34,,33,Xbox,SA,PREMIUM,new,9,19,0
S00008595,P00011927,Mythic Quest,2024-06-24,202,13.94,35,Xbox,SA,PREMIUM,new,18,61,0
S00008596,P00011928,Mythic Quest,2024-04-19,43,,14,,NA,,Intermediate,6,,0
S00008597,P00011928,Mythic Quest,2024-05-28,96,,15,,NA,,Intermediate,15,12,0
S00008598,P00011928,Mythic Quest,2024-06-17,154,0,19,,NA,,Intermediate,18,33,0
S00008599,P00011928,Mythic Quest,2024-07-09,NULL,6.70,22,,NA,,Intermediate,22,43,0
S00008600,P00011928,Mythic Quest,2024-07-19,137,,25,,NA,,Intermediate,45,32,0
S00008601,P00011928,Mythic Quest,2024-08-13,43,,24,,NA,,Intermediate,54,33,No
S00008602,P00011929,Mythic Quest,2024-04-16,34,4.75,30,pc,N/A,Premium,Intermediate,,13,0
S00008603,P00011929,Mythic Quest,2024-06-07,71,0,31,pc,N/A,Premium,Intermediate,24,22,0
S00008604,P00011929,Mythic Quest,2024-06-26,160,10.75,35,pc,N/A,Premium,Intermediate,15,,0
S00008605,P00011929,Mythic Quest,2024-07-02,116,0,37,pc,N/A,Premium,Intermediate,40,32,No
S00008606,P00011929,Mythic Quest,2024-07-28,115,10.76,39,pc,N/A,Premium,Intermediate,47,39,0
S00008607,P00011929,Mythic Quest,2024-08-01,18,0,40,pc,N/A,Premium,Intermediate,42,31,0
S00008608,P00011930,Mythic Quest,2024-05-21,191,,1,Xbox,ASIA,free,new,21,5,No
S00008609,P00011930,Mythic Quest,2024-07-15,33,,3,Xbox,ASIA,free,new,30,,0
S00008610,P00011930,Mythic Quest,2024-07-29,152,0,6,Xbox,ASIA,free,new,31,16,0
S00008611,P00011930,Mythic Quest,2024-08-06,201,2.14,8,Xbox,ASIA,free,new,20,55,0
S00008612,P00011931,Mythic Quest,2024-05-02,91,7.43,50,,EU,PREMIUM,Veteran,12,14,0
S00008613,P00011931,Mythic Quest,2024-05-25,134,0,52,,EU,PREMIUM,Veteran,19,37,0
S00008614,P00011931,Mythic Quest,2024-06-11,110,,53,,EU,PREMIUM,Veteran,8,35,1
S00008615,P00011932,Mythic Quest,2024-07-17,138,0,27,Xbox,,Premium,new,29,0,0
S00008616,P00011932,Mythic Quest,2024-07-22,107,0,29,Xbox,,Premium,new,21,31,0
S00008617,P00011932,Mythic Quest,2024-07-23,105,,MAX,Xbox,,Premium,new,-1,8,0
S00008618,P00011933,Mythic Quest,2024-04-21,89,0,15,Xbox,NA,,new,5,1,0
S00008619,P00011933,Mythic Quest,2024-06-30,44,,17,Xbox,NA,,new,25,53,0
S00008620,P00011933,Mythic Quest,2024-07-30,225,,20,Xbox,NA,,new,47,27,0
S00008621,P00011934,Mythic Quest,2024-04-19,72,12.38,45,PC,NA,,,28,10,0
S00008622,P00011934,Mythic Quest,2024-04-21,,0,47,PC,NA,,,27,5,0
S00008623,P00011934,Mythic Quest,2024-05-19,27,,48,PC,NA,,,16,28,0
S00008624,P00011934,Mythic Quest,2024-05-29,69,0,51,PC,NA,,,40,38,0
S00008625,P00011934,Mythic Quest,2024-06-07,46,,52,PC,NA,,,40,5,No
S00008626,P00011934,Mythic Quest,2024-07-17,155,1.75,56,PC,NA,,,36,25,0
S00008627,P00011934,Mythic Quest,2024-07-25,177,,59,PC,NA,,,,48,0
S00008628,P00011935,Mythic Quest,2024-05-13,16,9.92,5,,SA,Premium,Intermediate,18,21,No
S00008629,P00011935,Mythic Quest,2024-06-05,109,,7,,SA,Premium,Intermediate,,42,0
S00008630,P00011935,Mythic Quest,2024-06-11,,0,9,,SA,Premium,Intermediate,26,19,0
S00008631,P00011935,Mythic Quest,2024-06-24,26,,12,,SA,Premium,Intermediate,43,11,No
S00008632,P00011935,Mythic Quest,2024-06-28,59,21.78,16,,SA,Premium,Intermediate,55,38,0
S00008633,P00011935,Mythic Quest,2024-07-14,88,13.76,17,,SA,Premium,Intermediate,42,50,0
S00008634,P00011935,Mythic Quest,2024-07-15,190,0,17,,SA,Premium,Intermediate,36,49,0
S00008635,P00011935,Mythic Quest,2024-07-23,195,4.17,19,,SA,Premium,Intermediate,66,4,0
S00008636,P00011936,Mythic Quest,2024-04-30,68,,6,PLAYSTATION,,Casual,Intermediate,2,,0
S00008637,P00011936,Mythic Quest,2024-05-02,115,0,7,PLAYSTATION,,Casual,Intermediate,9,34,0
S00008638,P00011936,Mythic Quest,2024-07-11,118,,11,PLAYSTATION,,Casual,Intermediate,46,43,0
S00008639,P00011936,Mythic Quest,2024-07-28,97,0,13,PLAYSTATION,,Casual,Intermediate,38,21,0
S00008640,P00011936,Mythic Quest,2024-08-07,202,,17,PLAYSTATION,,Casual,Intermediate,39,56,0
S00008641,P00011937,Mythic Quest,2024-04-17,144,,30,Xbox,NA,Whale,Veteran,,22,0
S00008642,P00011937,Mythic Quest,2024-04-24,116,,31,Xbox,NA,Whale,Veteran,10,40,0
S00008643,P00011937,Mythic Quest,2024-04-30,195,0,34,Xbox,NA,Whale,Veteran,25,22,0
S00008644,P00011937,Mythic Quest,2024-06-30,93,185.66,36,Xbox,NA,Whale,Veteran,46,18,0
S00008645,P00011937,Mythic Quest,2024-07-30,59,192.18,38,Xbox,NA,Whale,Veteran,36,,0
S00008646,P00011937,Mythic Quest,2024-08-09,185,211.27,41,Xbox,NA,Whale,Veteran,41,,0
S00008647,P00011938,Mythic Quest,2024-05-16,146,9.67,49,Xbox,NA,Premium,,34,2,0
S00008648,P00011938,Mythic Quest,2024-05-21,179,,50,Xbox,NA,Premium,,31,0,0
S00008649,P00011938,Mythic Quest,2024-06-03,104,14.74,52,Xbox,NA,Premium,,14,33,0
S00008650,P00011938,Mythic Quest,2024-06-03,83,,55,Xbox,NA,Premium,,,13,0
S00008651,P00011939,Mythic Quest,2024-05-28,121,10.63,1,Xbox,N/A,Free,,19,30,0
S00008652,P00011939,Mythic Quest,2024-06-01,99,,2,Xbox,N/A,Free,,25,26,0
S00008653,P00011939,Mythic Quest,2024-06-08,18,,4,Xbox,N/A,Free,,17,37,0
S00008654,P00011939,Mythic Quest,2024-06-14,67,12.33,6,Xbox,N/A,Free,,34,14,0
S00008655,P00011939,Mythic Quest,2024-06-16,124,0,11,Xbox,N/A,Free,,-1,51,0
S00008656,P00011939,Mythic Quest,2024-06-28,164,,13,Xbox,N/A,Free,,41,60,1
S00008657,P00011940,Mythic Quest,2024-05-11,12,,31,pc,N/A,Whale,Intermediate,19,5,0
S00008658,P00011940,Mythic Quest,2024-05-30,,0,33,pc,N/A,Whale,Intermediate,,20,0
S00008659,P00011940,Mythic Quest,2024-06-09,91,,35,pc,N/A,Whale,Intermediate,32,28,0
S00008660,P00011940,Mythic Quest,2024-06-27,180,0,37,pc,N/A,Whale,Intermediate,40,29,0
S00008661,P00011940,Mythic Quest,2024-07-20,115,113.54,42,pc,N/A,Whale,Intermediate,29,57,0
S00008662,P00011940,Mythic Quest,2024-08-01,45,0,42,pc,N/A,Whale,Intermediate,47,6,0
S00008663,P00011941,Mythic Quest,2024-05-18,116,,13,Xbox,OCE,PREMIUM,Veteran,13,17,0
S00008664,P00011941,Mythic Quest,2024-06-10,13,0,14,Xbox,OCE,PREMIUM,Veteran,15,33,0
S00008665,P00011941,Mythic Quest,2024-06-24,124,11.82,18,Xbox,OCE,PREMIUM,Veteran,50,63,0
S00008666,P00011941,Mythic Quest,2024-06-27,36,0,21,Xbox,OCE,PREMIUM,Veteran,58,3,1
S00008667,P00011942,Mythic Quest,2024-04-28,161,,,PC,na,free,Veteran,13,41,No
S00008668,P00011942,Mythic Quest,2024-04-30,121,7.55,10,PC,na,free,Veteran,37,9,0
S00008669,P00011942,Mythic Quest,2024-05-02,51,5.93,12,PC,na,free,Veteran,13,11,0
S00008670,P00011942,Mythic Quest,2024-05-06,63,,13,PC,na,free,Veteran,17,30,0
S00008671,P00011942,Mythic Quest,2024-07-09,153,2.14,17,PC,na,free,Veteran,43,55,0
S00008672,P00011942,Mythic Quest,2024-07-15,93,0,,PC,na,free,Veteran,34,19,No
S00008673,P00011942,Mythic Quest,2024-08-06,153,,25,PC,na,free,Veteran,59,13,0
S00008674,P00011943,Mythic Quest,2024-05-05,,0,21,,SA,,Veteran,12,27,0
S00008675,P00011943,Mythic Quest,2024-05-16,85,,23,,SA,,Veteran,13,45,0
S00008676,P00011943,Mythic Quest,2024-06-18,35,2.06,MAX,,SA,,Veteran,18,52,0
S00008677,P00011943,Mythic Quest,2024-08-05,95,0,29,,SA,,Veteran,-1,10,0
S00008678,P00011944,Mythic Quest,2024-04-26,23,0,MAX,PC,OCE,free,Veteran,27,29,0
S00008679,P00011944,Mythic Quest,2024-06-13,63,,32,PC,OCE,free,Veteran,33,38,0
S00008680,P00011944,Mythic Quest,2024-06-15,111,0,35,PC,OCE,free,Veteran,23,56,0
S00008681,P00011944,Mythic Quest,2024-06-29,NULL,0,37,PC,OCE,free,Veteran,21,13,0
S00008682,P00011944,Mythic Quest,2024-08-06,134,0,40,PC,OCE,free,Veteran,34,29,0
S00008683,P00011944,Mythic Quest,2024-08-07,NULL,,40,PC,OCE,free,Veteran,37,,No
S00008684,P00011945,Mythic Quest,2024-04-17,165,,44,Xbox,NA,Free,veteran,-1,32,0
S00008685,P00011945,Mythic Quest,2024-04-20,125,,45,Xbox,NA,Free,veteran,6,18,0
S00008686,P00011945,Mythic Quest,2024-05-30,,9.65,47,Xbox,NA,Free,veteran,24,25,0
S00008687,P00011945,Mythic Quest,2024-06-05,74,0,49,Xbox,NA,Free,veteran,41,18,0
S00008688,P00011945,Mythic Quest,2024-06-15,24,0,53,Xbox,NA,Free,veteran,26,44,1
S00008689,P00011946,Mythic Quest,2024-05-16,63,13.30,12,pc,na,Premium,new,11,5,0
S00008690,P00011946,Mythic Quest,2024-05-29,13,0,13,pc,na,Premium,new,15,36,0
S00008691,P00011946,Mythic Quest,2024-05-30,21,16.18,16,pc,na,Premium,new,17,4,0
S00008692,P00011946,Mythic Quest,2024-05-31,188,0,18,pc,na,Premium,new,48,47,0
S00008693,P00011946,Mythic Quest,2024-07-09,81,8.07,22,pc,na,Premium,new,26,49,0
S00008694,P00011946,Mythic Quest,2024-08-01,179,0,24,pc,na,Premium,new,41,33,0
S00008695,P00011946,Mythic Quest,2024-08-05,77,8.04,MAX,pc,na,Premium,new,57,37,No
S00008696,P00011947,Mythic Quest,2024-06-20,108,0,1,,N/A,Premium,Veteran,-1,43,0
S00008697,P00011947,Mythic Quest,2024-07-14,131,,3,,N/A,Premium,Veteran,24,29,0
S00008698,P00011948,Mythic Quest,2024-04-16,105,0,38,,OCE,Premium,,23,25,0
S00008699,P00011948,Mythic Quest,2024-04-29,48,10.91,,,OCE,Premium,,12,30,0
S00008700,P00011948,Mythic Quest,2024-04-30,109,8.77,41,,OCE,Premium,,38,,0
S00008701,P00011948,Mythic Quest,2024-05-02,67,6.37,43,,OCE,Premium,,18,,0
S00008702,P00011948,Mythic Quest,2024-06-09,54,13.27,46,,OCE,Premium,,23,40,0
S00008703,P00011948,Mythic Quest,2024-06-15,49,0,51,,OCE,Premium,,41,50,0
S00008704,P00011948,Mythic Quest,2024-06-16,134,0,51,,OCE,Premium,,49,24,No
S00008705,P00011948,Mythic Quest,2024-07-12,70,0,55,,OCE,Premium,,56,19,0
S00008706,P00011949,Mythic Quest,2024-04-28,96,,4,,,Premium,Intermediate,22,,0
S00008707,P00011949,Mythic Quest,2024-07-21,143,,MAX,,,Premium,Intermediate,8,39,0
S00008708,P00011951,Mythic Quest,2024-05-20,60,,44,,ASIA,free,Veteran,32,9,0
S00008709,P00011951,Mythic Quest,2024-07-17,118,0,46,,ASIA,free,Veteran,38,,0
S00008710,P00011952,Mythic Quest,2024-04-20,114,0,34,,,Premium,veteran,25,47,0
S00008711,P00011952,Mythic Quest,2024-04-26,219,0,36,,,Premium,veteran,38,26,0
S00008712,P00011952,Mythic Quest,2024-06-06,,,37,,,Premium,veteran,-1,,0
S00008713,P00011952,Mythic Quest,2024-06-09,173,0,39,,,Premium,veteran,27,4,0
S00008714,P00011952,Mythic Quest,2024-06-22,214,,44,,,Premium,veteran,37,14,0
S00008715,P00011952,Mythic Quest,2024-06-28,81,0,46,,,Premium,veteran,47,13,0
S00008716,P00011952,Mythic Quest,2024-07-31,23,,50,,,Premium,veteran,52,50,0
S00008717,P00011953,Mythic Quest,2024-04-21,61,,32,PLAYSTATION,N/A,Casual,,10,12,0
S00008718,P00011953,Mythic Quest,2024-05-09,61,0,34,PLAYSTATION,N/A,Casual,,17,39,0
S00008719,P00011954,Mythic Quest,2024-04-29,105,,35,PC,na,Free,new,11,38,0
S00008720,P00011954,Mythic Quest,2024-05-27,71,,36,PC,na,Free,new,29,2,0
S00008721,P00011954,Mythic Quest,2024-06-12,148,0,39,PC,na,Free,new,30,30,0
S00008722,P00011955,Mythic Quest,2024-05-10,32,12.77,29,,NA,free,Veteran,11,13,No
S00008723,P00011955,Mythic Quest,2024-05-22,135,,31,,NA,free,Veteran,35,40,0
S00008724,P00011955,Mythic Quest,2024-06-17,213,0,34,,NA,free,Veteran,,45,0
S00008725,P00011955,Mythic Quest,2024-06-22,169,0,35,,NA,free,Veteran,22,21,0
S00008726,P00011955,Mythic Quest,2024-07-03,244,12.05,39,,NA,free,Veteran,64,42,0
S00008727,P00011955,Mythic Quest,2024-07-03,255,,42,,NA,free,Veteran,47,10,0
S00008728,P00011956,Mythic Quest,2024-04-25,199,,49,PLAYSTATION,SA,free,Intermediate,10,12,0
S00008729,P00011956,Mythic Quest,2024-05-08,136,,51,PLAYSTATION,SA,free,Intermediate,8,2,0
S00008730,P00011956,Mythic Quest,2024-05-24,213,,53,PLAYSTATION,SA,free,Intermediate,18,29,No
S00008731,P00011956,Mythic Quest,2024-05-28,132,0.13,53,PLAYSTATION,SA,free,Intermediate,17,7,0
S00008732,P00011956,Mythic Quest,2024-05-31,120,0,56,PLAYSTATION,SA,free,Intermediate,27,22,0
S00008733,P00011956,Mythic Quest,2024-07-05,28,12.23,59,PLAYSTATION,SA,free,Intermediate,30,9,0
S00008734,P00011956,Mythic Quest,2024-08-09,245,3.78,65,PLAYSTATION,SA,free,Intermediate,70,58,0
